node_id,node_type,backup_hours,criticality,population,latitude,longitude
Sub_A,substation,0,5,,12.9716,77.5946
Sub_B,substation,0,5,,12.9810,77.5800
Sub_C,substation,0,5,,12.9550,77.6100
Sub_D,substation,0,5,,12.9400,77.5850
Sub_E,substation,0,5,,12.9900,77.6200

Hospital_1,hospital,6,10,,12.9750,77.5900
Hospital_2,hospital,6,10,,12.9650,77.6000
Hospital_3,hospital,6,10,,12.9850,77.6100
Hospital_4,hospital,5,9,,12.9500,77.5950
Hospital_5,hospital,5,9,,12.9400,77.6200
Hospital_6,hospital,4,9,,12.9900,77.6050
Hospital_7,hospital,4,9,,12.9600,77.5800
Hospital_8,hospital,6,10,,12.9450,77.6100

Telecom_T1,telecom,2,8,,12.9780,77.5990
Telecom_T2,telecom,2,8,,12.9820,77.5880
Telecom_T3,telecom,3,8,,12.9680,77.6200
Telecom_T4,telecom,2,7,,12.9500,77.6050
Telecom_T5,telecom,3,8,,12.9900,77.6150
Telecom_T6,telecom,2,7,,12.9600,77.5950
Telecom_T7,telecom,2,7,,12.9450,77.5800

Traffic_Z1,traffic,1,6,,12.9700,77.6050
Traffic_Z2,traffic,1,6,,12.9800,77.5900
Traffic_Z3,traffic,1,6,,12.9550,77.6000
Traffic_Z4,traffic,1,6,,12.9400,77.6100
Traffic_Z5,traffic,1,6,,12.9900,77.5900
Traffic_Z6,traffic,1,6,,12.9650,77.5850
Traffic_Z7,traffic,1,6,,12.9500,77.6200

Zone_A,zone,0,7,15000,12.9720,77.6100
Zone_B,zone,0,6,12000,12.9820,77.6200
Zone_C,zone,0,6,18000,12.9600,77.6050
Zone_D,zone,0,7,20000,12.9450,77.5950
Zone_E,zone,0,5,10000,12.9900,77.6100
Zone_F,zone,0,6,14000,12.9550,77.5850
Zone_G,zone,0,7,22000,12.9400,77.6200
Zone_H,zone,0,6,16000,12.9750,77.5800
Zone_I,zone,0,5,9000,12.9650,77.6200
Zone_J,zone,0,6,13000,12.9850,77.5950
Zone_K,zone,0,7,19000,12.9500,77.6100
Zone_L,zone,0,6,11000,12.9600,77.5900
Zone_M,zone,0,5,8000,12.9450,77.5850
Zone_N,zone,0,6,17000,12.9900,77.6000
Zone_O,zone,0,7,21000,12.9800,77.6050
